,predicted_mean
2370,110.15791485261676
2371,110.79430933275917
2372,111.21568342742628
2373,111.72092173285486
2374,112.14757326739472
2375,112.61640787945414
2376,113.05362145954955
2377,113.51006513788168
2378,113.95321813785233
2379,114.40485495381034
2380,114.85080470235664
2381,115.3004529396042
2382,115.74765052526591
2383,116.19645326337898
2384,116.64419710643993
2385,117.09263640956604
2386,117.54061770158366
2387,117.98890011927618
2388,118.4369843514721
2389,118.88519893529275
2390,119.33332774944442
2391,119.78151298505333
2392,120.22966109956474
2393,120.67783363468955
2394,121.12599010345384
2395,121.57415714192368
2396,122.02231722666255
2397,122.47048188614691
2398,122.91864353595587
2399,123.36680716578728
